id,category,subcategory,question,answer,question_zh,answer_zh,question_en,answer_en,source_title,source_type,dataset_source,updated_at,language
public_zh_faq_0001,product,product_info,商品显示为‘即将推出’但无法预购，我能申请购买吗？,如果商品显示为‘即将推出’且未开放预购，您需要等待该商品正式发布并上架销售后才能购买。,商品显示为‘即将推出’但无法预购，我能申请购买吗？,如果商品显示为‘即将推出’且未开放预购，您需要等待该商品正式发布并上架销售后才能购买。,Can I request a product if it is listed as 'coming soon' but not available for pre-order?,"If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0002,general,general_support,你们提供礼品包装服务吗？,是的，我们提供礼品包装服务，需额外收费。在结算过程中，您可以选择为订单添加礼品包装的选项。,你们提供礼品包装服务吗？,是的，我们提供礼品包装服务，需额外收费。在结算过程中，您可以选择为订单添加礼品包装的选项。,Do you offer gift wrapping services?,"Yes, we offer gift wrapping services for an additional fee. During the checkout process, you can select the option to add gift wrapping to your order.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0003,return,return_policy,商品在运输过程中损坏了，可以退货吗？,如果您的商品在运输过程中损坏，请立即联系我们的客服团队。我们将为您提供退货和换货的流程指导。,商品在运输过程中损坏了，可以退货吗？,如果您的商品在运输过程中损坏，请立即联系我们的客服团队。我们将为您提供退货和换货的流程指导。,Can I return a product if it was damaged during shipping?,"If your product was damaged during shipping, please contact our customer support team immediately. We will guide you through the return and replacement process.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0004,payment,payment_issue,你们支持哪些支付方式？,我们接受主流信用卡、借记卡以及PayPal作为在线订单的支付方式。,你们支持哪些支付方式？,我们接受主流信用卡、借记卡以及PayPal作为在线订单的支付方式。,What payment methods do you accept?,"We accept major credit cards, debit cards, and PayPal as payment methods for online orders.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0005,product,product_info,商品显示为‘预售’但支持缺货订购，我能下单吗？,如果商品标注为‘预售’且支持缺货订购，您可以下单锁定库存。商品将在到货后为您安排发货。,商品显示为‘预售’但支持缺货订购，我能下单吗？,如果商品标注为‘预售’且支持缺货订购，您可以下单锁定库存。商品将在到货后为您安排发货。,Can I order a product if it is listed as 'pre-order' but available for backorder?,"If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0006,return,return_policy,如果商品是作为套装或组合购买的，可以退货吗？,套装或组合商品的退货政策可能有所不同，请参考具体的条款与条件，或联系我们的客服团队获取进一步指导。,如果商品是作为套装或组合购买的，可以退货吗？,套装或组合商品的退货政策可能有所不同，请参考具体的条款与条件，或联系我们的客服团队获取进一步指导。,Can I return a product if it was purchased as part of a bundle or set?,"If a product was purchased as part of a bundle or set, the return policy may vary. Please refer to the specific terms and conditions or contact our customer support team for further guidance.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0007,coupon,coupon_rule,你们有会员积分或忠诚度计划吗？,有的，我们设有会员忠诚计划，您每次购物均可累积积分，积分可在后续订单中抵扣金额。详情及加入方式请访问我们的官网了解。,你们有会员积分或忠诚度计划吗？,有的，我们设有会员忠诚计划，您每次购物均可累积积分，积分可在后续订单中抵扣金额。详情及加入方式请访问我们的官网了解。,Do you have a loyalty program?,"Yes, we have a loyalty program where you can earn points for every purchase. These points can be redeemed for discounts on future orders. Please visit our website to learn more and join the program.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0008,general,general_support,你们有在线客服吗？,有的，我们在工作时间内提供网站在线客服支持。您可以在页面右下角找到聊天图标，点击即可与我们的客服团队联系。,你们有在线客服吗？,有的，我们在工作时间内提供网站在线客服支持。您可以在页面右下角找到聊天图标，点击即可与我们的客服团队联系。,Do you offer live chat support?,"Yes, we offer live chat support on our website during our business hours. Look for the chat icon in the bottom right corner to initiate a chat with our customer support team.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0009,product,product_info,缺货的商品可以帮我预留吗？,很抱歉，我们暂不支持缺货商品的预留服务。不过，您可以开启到货通知，商品补货后会第一时间提醒您。,缺货的商品可以帮我预留吗？,很抱歉，我们暂不支持缺货商品的预留服务。不过，您可以开启到货通知，商品补货后会第一时间提醒您。,Can I request a product that is currently out of stock to be reserved for me?,"We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when it becomes available again.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
public_zh_faq_0010,return,return_policy,没有小票能退货吗？,退货通常需要提供收据或购买凭证。建议您查阅我们的退货政策，或联系客服团队获取帮助。,没有小票能退货吗？,退货通常需要提供收据或购买凭证。建议您查阅我们的退货政策，或联系客服团队获取帮助。,Can I return a product without a receipt?,A receipt or proof of purchase is usually required for returns. Please refer to our return policy or contact our customer support team for assistance.,MakTek Customer Support FAQs Dataset,public_huggingface_dataset,MakTek/Customer_support_faqs_dataset,2026-07-01,zh
