id,category,subcategory,question,answer,source_title,source_type,updated_at,dataset_source
public_faq_0001,account,account_security,How can I create an account?,"To create an account, click on the 'Sign Up' button on the top right corner of our website and follow the instructions to complete the registration process.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0002,payment,payment_issue,What payment methods do you accept?,"We accept major credit cards, debit cards, and PayPal as payment methods for online orders.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0003,delivery,delivery_tracking,How can I track my order?,"You can track your order by logging into your account and navigating to the 'Order History' section. There, you will find the tracking information for your shipment.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0004,refund,refund_policy,What is your return policy?,"Our return policy allows you to return products within 30 days of purchase for a full refund, provided they are in their original condition and packaging. Please refer to our Returns page for detailed instructions.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0005,general,general_support,Can I cancel my order?,"You can cancel your order if it has not been shipped yet. Please contact our customer support team with your order details, and we will assist you with the cancellation process.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0006,delivery,delivery_tracking,How long does shipping take?,"Shipping times vary depending on the destination and the shipping method chosen. Standard shipping usually takes 3-5 business days, while express shipping can take 1-2 business days.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0007,delivery,delivery_tracking,Do you offer international shipping?,"Yes, we offer international shipping to select countries. The availability and shipping costs will be calculated during the checkout process based on your location.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0008,delivery,delivery_tracking,What should I do if my package is lost or damaged?,"If your package is lost or damaged during transit, please contact our customer support team immediately. We will initiate an investigation and take the necessary steps to resolve the issue.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0009,delivery,delivery_tracking,Can I change my shipping address after placing an order?,"If you need to change your shipping address, please contact our customer support team as soon as possible. We will do our best to update the address if the order has not been shipped yet.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0010,general,general_support,How can I contact customer support?,You can contact our customer support team by phone at [phone number] or by email at [email address]. Our team is available [working hours] to assist you with any inquiries or issues you may have.,MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0011,general,general_support,Do you offer gift wrapping services?,"Yes, we offer gift wrapping services for an additional fee. During the checkout process, you can select the option to add gift wrapping to your order.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0012,product,product_info,What is your price matching policy?,We have a price matching policy where we will match the price of an identical product found on a competitor's website. Please contact our customer support team with the details of the product and the competitor's offer.,MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0013,general,general_support,Can I order by phone?,"Unfortunately, we do not accept orders over the phone. Please place your order through our website for a smooth and secure transaction.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0014,payment,payment_issue,Are my personal and payment details secure?,"Yes, we take the security of your personal and payment details seriously. We use industry-standard encryption and follow strict security protocols to ensure your information is protected.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0015,product,product_info,What is your price adjustment policy?,"If a product you purchased goes on sale within 7 days of your purchase, we offer a one-time price adjustment. Please contact our customer support team with your order details to request the adjustment.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0016,coupon,coupon_rule,Do you have a loyalty program?,"Yes, we have a loyalty program where you can earn points for every purchase. These points can be redeemed for discounts on future orders. Please visit our website to learn more and join the program.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0017,delivery,delivery_tracking,Can I order without creating an account?,"Yes, you can place an order as a guest without creating an account. However, creating an account offers benefits such as order tracking and easier future purchases.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
public_faq_0018,coupon,coupon_rule,Do you offer bulk or wholesale discounts?,"Yes, we offer bulk or wholesale discounts for certain products. Please contact our customer support team or visit our Wholesale page for more information and to discuss your specific requirements.",MakTek Customer Support FAQs Dataset,public_huggingface_dataset,2026-07-01,MakTek/Customer_support_faqs_dataset
